parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
0.081801287,0.0282019,-2.58744485,0.043381351,-5.952014266,0.059107948,5.18128161,4.398468416
0.081801718,0.037996539,-1.781971673,0.054343237,-5.750449305,0.0515281,-61.28177042,1.004585191
0.08180275,0.024921928,-3.249048793,0.036473428,-6.581004087,0.031906425,-64.0853452,1.919642977
0.08180641,0.01483911,-2.528468005,0.021612159,-5.273266971,0.024721513,-52.98432259,1.375647426
0.081808477,0.024237774,-2.383624224,0.039211035,-4.523101854,0.041670243,-115.502218,1.213805829
0.081809615,0.049815317,-5.547132384,0.070102245,-7.848542313,0.084397547,34.50771965,1.278915715
0.081810271,0.018160884,-2.402376577,0.023904812,-4.418765253,0.028446229,-61.38503929,6.258098727
0.081814126,0.017059261,-2.958737788,0.027387129,-3.939582308,0.027458155,-108.1449152,1.166197839
0.08182044,0.020844834,-3.556733768,0.033382583,-6.0106085,0.043519099,-53.88248622,3.722352686
0.081826025,0.062444273,-1.391238964,0.085132693,-4.871610947,0.097243837,-50.70216841,0.63218798
0.081826138,0.020118634,-3.98259682,0.026489781,-3.784529875,0.029016857,-56.07808608,1.065955755
0.081827728,0.016704467,-2.581575368,0.026679207,-4.109704763,0.032205562,-11.41283255,1.200379955
0.081828725,0.016624223,-2.580478228,0.026262575,-4.938750559,0.028715322,-46.26138706,2.48027524
0.081832181,0.029469993,-2.4211328,0.057339207,-2.253251684,0.055292385,-90.10649962,0.843906307
0.081837053,0.076885345,-1.948324214,0.127207853,-4.943364034,0.139271165,16.01293327,0.488443148
0.081837584,0.064560398,-2.248398497,0.101452748,-1.250772337,0.08474875,-77.67413396,1.388455693
0.081842631,0.048764498,-2.684225983,0.068127091,-5.190329664,0.074203777,-16.86080731,1.260883036
0.081844837,0.069348013,-2.317607023,0.112275299,-2.253591122,0.104988147,-57.60995308,1.21189086
0.081845642,0.016075606,-2.368195218,0.026389055,-5.670042168,0.033283637,-51.33421168,0.703620104
0.081846882,0.021377408,-3.988854768,0.035942472,-4.324872927,0.039302913,-113.1237178,3.123775059
0.081849411,0.020694639,-0.905616366,0.042979697,1.541204318,0.040998865,-157.0321474,0.821936413
0.08185136,0.04365249,1.650035737,0.079226012,-2.508336455,0.055358872,-25.94427717,0.624917187
0.081852337,0.049829999,-2.479249297,0.06572931,-4.95438331,0.07139456,19.25763926,1.148154494
0.081852479,0.032179583,-2.152434518,0.054522095,-3.030767891,0.050807275,-118.9918584,0.676720587
0.081852977,0.025908966,-1.76599196,0.043524594,-1.584875069,0.041860232,-113.6049035,2.08773825
0.081854717,0.067548462,-1.923516822,0.07783976,-6.47568394,0.096077816,4.098420453,0.521971452
0.081855701,0.026800593,-3.005269655,0.047437637,-5.897885284,0.047566604,-1.276355484,0.640577598
0.081855842,0.025377616,-1.634789795,0.036539649,-3.936748907,0.037119026,-69.81794863,1.694013997
0.081856973,0.032646054,-1.849151498,0.046295389,-3.604613805,0.052862169,-49.86276037,5.708167987
0.081858537,0.044746595,-3.286765322,0.072847663,-0.617470543,0.069703352,-93.87918051,1.04409904
0.081862636,0.03767509,-2.248616856,0.055919089,-3.604929951,0.069273207,16.36754945,1.470924589
0.081863254,0.052510747,-3.470975933,0.072920004,-6.076943733,0.065727371,-21.73311865,2.347148638
0.08187186,0.091501121,-1.6782714,0.119402307,-4.250546561,0.123514469,-10.68848485,10.12958847
0.081872425,0.012975412,-2.433780899,0.024726436,-4.502057531,0.023699952,-68.53615584,1.099825458
0.081875499,0.071115483,-3.057029211,0.125285525,-3.6286413,0.123417122,-57.95172626,1.2982623
0.08187779,0.032550037,-2.430074996,0.054172182,-5.196554729,0.055675724,-16.61653045,0.382006274
0.081881,0.048552764,-2.319534804,0.077652053,-4.543328466,0.08286878,-34.10418879,0.700064185
0.081887549,0.028017914,-2.375291314,0.045572773,-2.062421459,0.043548557,-115.0792799,1.850754596
0.08188815,0.02646168,-3.449774519,0.037124295,-5.775522481,0.044979636,-13.49733542,1.469720102
0.081888471,0.025038813,-2.165638355,0.04218891,-2.883079222,0.043474371,-233.8736207,1.574128751
0.081890086,0.032192683,-3.624150976,0.047771414,-5.972181737,0.052349652,-12.97010695,0.597011701
0.081894539,0.026911782,-4.902137623,0.046009641,-4.61250234,0.048401843,-48.80232192,0.687532064
0.081895216,0.048756834,-1.788001632,0.081950439,-3.625714241,0.093880428,-64.94041165,0.742559784
0.081895708,0.039193001,-2.607027104,0.06003989,-4.523713725,0.068266559,-37.26007446,1.311144229
0.081897953,0.034668578,-3.509648116,0.058110395,-5.824638426,0.06398509,-48.16195939,0.716598351
0.081898167,0.022595618,-3.796647328,0.030569033,-5.829300108,0.036569463,31.73995221,1.310482432
0.081908172,0.022402783,-1.20238656,0.041778601,-1.565043675,0.043447742,-48.63786679,2.26663669
